"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"715737",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"1099406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1220694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"943893",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"809838",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2
"1054436",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"817395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"706714",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"1220878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555181",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1739024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1652570",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1220941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1947988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"807274",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,4
"1475279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"965207",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"942980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715586",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"799526",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,9
"1641403",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"1615370",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
"1771782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1948338",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"1035359",3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
"780697",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1938269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1629198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053575",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1947803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"706990",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1061169",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"282785",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"825849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
